candidate,fold,true_class,predicted_class,count,rate_among_true
HIERARCHICAL,4,Endothelial,Plasma cell,74,0.018240078876016762
HIERARCHICAL,4,Endothelial,T and B,44,0.010845452304658615
HIERARCHICAL,4,Endothelial,Tumor,192,0.047325610056692134
HIERARCHICAL,4,Mesenchymal,Endothelial,1105,0.2073948948948949
HIERARCHICAL,4,Mesenchymal,Mesenchymal,2939,0.5516141141141141
HIERARCHICAL,4,Mesenchymal,Myeloid,230,0.04316816816816817
HIERARCHICAL,4,Mesenchymal,Neutrophil,176,0.03303303303303303
HIERARCHICAL,4,Mesenchymal,Plasma cell,393,0.07376126126126126
HIERARCHICAL,4,Mesenchymal,T and B,163,0.030593093093093094
HIERARCHICAL,4,Mesenchymal,Tumor,322,0.06043543543543543
HIERARCHICAL,4,Myeloid,Endothelial,885,0.1923913043478261
HIERARCHICAL,4,Myeloid,Mesenchymal,1210,0.26304347826086955
HIERARCHICAL,4,Myeloid,Myeloid,814,0.17695652173913043
HIERARCHICAL,4,Myeloid,Neutrophil,552,0.12
HIERARCHICAL,4,Myeloid,Plasma cell,417,0.09065217391304348
HIERARCHICAL,4,Myeloid,T and B,266,0.05782608695652174
HIERARCHICAL,4,Myeloid,Tumor,456,0.09913043478260869
HIERARCHICAL,4,Neutrophil,Endothelial,472,0.13931523022432113
HIERARCHICAL,4,Neutrophil,Mesenchymal,704,0.2077922077922078
HIERARCHICAL,4,Neutrophil,Myeloid,360,0.10625737898465171
HIERARCHICAL,4,Neutrophil,Neutrophil,1081,0.3190672963400236
HIERARCHICAL,4,Neutrophil,Plasma cell,239,0.070543093270366
HIERARCHICAL,4,Neutrophil,T and B,265,0.07821723730814639
HIERARCHICAL,4,Neutrophil,Tumor,267,0.07880755608028335
HIERARCHICAL,4,Plasma cell,Endothelial,225,0.05440038684719536
HIERARCHICAL,4,Plasma cell,Mesenchymal,810,0.1958413926499033
HIERARCHICAL,4,Plasma cell,Myeloid,198,0.047872340425531915
HIERARCHICAL,4,Plasma cell,Neutrophil,108,0.02611218568665377
HIERARCHICAL,4,Plasma cell,Plasma cell,2538,0.6136363636363636
HIERARCHICAL,4,Plasma cell,T and B,143,0.034574468085106384
HIERARCHICAL,4,Plasma cell,Tumor,114,0.02756286266924565
HIERARCHICAL,4,T and B,Endothelial,502,0.13678474114441416
HIERARCHICAL,4,T and B,Mesenchymal,1056,0.2877384196185286
