representation,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
PHIKON_V2_CONTEXT,1,6,Tumor,0.3825581395348837,0.378596087456847,0.38056680161943324,0.8724579910659508,0.38040766969810824,869
PHIKON_V2_CONTEXT,2,0,Endothelial,0.23892927957699933,0.24359838274932616,0.24124124124124124,0.6676481834064842,0.21251640496611388,2968
PHIKON_V2_CONTEXT,2,1,Mesenchymal,0.26396495071193865,0.08122682844624199,0.12422680412371133,0.6897893544324922,0.21019646525565647,2967
PHIKON_V2_CONTEXT,2,2,Myeloid,0.24954128440366974,0.3328313253012048,0.28523029765265795,0.5603399094692602,0.24905903870436621,5312
PHIKON_V2_CONTEXT,2,3,Neutrophil,0.1088011088011088,0.12826797385620914,0.11773528308961378,0.6089622515109148,0.07637530153119024,1224
PHIKON_V2_CONTEXT,2,4,Plasma cell,0.21363636363636362,0.038118410381184104,0.06469373709566413,0.6575466085056987,0.10243997342839346,1233
PHIKON_V2_CONTEXT,2,5,T and B,0.342449773169151,0.4449309531828899,0.38702116750897236,0.6298595293799097,0.3529024153898916,5938
PHIKON_V2_CONTEXT,2,6,Tumor,0.48292791787547423,0.41289830185079185,0.4451758897346225,0.7873380272766901,0.46963730015596544,5241
PHIKON_V2_CONTEXT,3,0,Endothelial,0.3641114982578397,0.5028067361668003,0.4223644324688447,0.7447845196131224,0.40387463420437036,1247
PHIKON_V2_CONTEXT,3,1,Mesenchymal,0.2774674115456238,0.2571182053494392,0.2669055082848186,0.6385069999666058,0.249168843575524,1159
PHIKON_V2_CONTEXT,3,2,Myeloid,0.23703703703703705,0.17344173441734417,0.20031298904538342,0.6112067297475782,0.21493842675995384,1107
PHIKON_V2_CONTEXT,3,3,Neutrophil,0.09623430962343096,0.1393939393939394,0.11386138613861387,0.6896369712159186,0.08723356489189832,330
PHIKON_V2_CONTEXT,3,4,Plasma cell,0.08032128514056225,0.1342281879194631,0.10050251256281406,0.7319760576986972,0.06999308181511539,149
PHIKON_V2_CONTEXT,3,5,T and B,0.40511440107671604,0.23851030110935023,0.3002493765586035,0.7378203726979616,0.3613180552662061,1262
PHIKON_V2_CONTEXT,3,6,Tumor,0.6098901098901099,0.6842465753424658,0.644932214331827,0.8884105260962293,0.7121612648319519,1460
